,id,title,soup
22,57158,The Hobbit: The Desolation of Smaug,elves dwarves orcs martinfreeman ianmckellen richardarmitage peterjackson adventure fantasy
23,2268,The Golden Compass,england compass experiment dakotabluerichards nicolekidman danielcraig chrisweitz adventure fantasy
24,254,King Kong,filmbusiness screenplay showbusiness naomiwatts jackblack adrienbrody peterjackson adventure drama action
25,597,Titanic,shipwreck iceberg ship katewinslet leonardodicaprio francesfisher jamescameron drama romance thriller
26,271110,Captain America: Civil War,civilwar war marvelcomic chrisevans robertdowneyjr. scarlettjohansson anthonyrusso adventure action sciencefiction
27,44833,Battleship,fight u.s.navy mindreading taylorkitsch alexanderskarsgård rihanna peterberg thriller action adventure
28,135397,Jurassic World,monster dna tyrannosaurusrex chrispratt brycedallashoward irrfankhan colintrevorrow action adventure sciencefiction
29,37724,Skyfall,spy secretagent sociopath danielcraig judidench javierbardem sammendes action adventure thriller
30,558,Spider-Man 2,dualidentity loveofone'slife pizzaboy tobeymaguire kirstendunst jamesfranco samraimi action adventure fantasy
31,68721,Iron Man 3,terrorist waronterror tennessee robertdowneyjr. gwynethpaltrow doncheadle shaneblack action adventure sciencefiction
32,12155,Alice in Wonderland,basedonnovel fictionalplace queen miawasikowska johnnydepp annehathaway timburton family fantasy adventure
33,36668,X-Men: The Last Stand,mutant marvelcomic basedoncomicbook hughjackman halleberry ianmckellen brettratner adventure action sciencefiction
34,62211,Monsters University,monster dormitory games billycrystal johngoodman stevebuscemi danscanlon animation family
35,8373,Transformers: Revenge of the Fallen,egypt sun chaos shialabeouf meganfox joshduhamel michaelbay sciencefiction action adventure
36,91314,Transformers: Age of Extinction,sequel alien transformers markwahlberg stanleytucci kelseygrammer michaelbay sciencefiction action adventure
37,68728,Oz: The Great and Powerful,circus witch magic jamesfranco milakunis rachelweisz samraimi fantasy adventure family
38,102382,The Amazing Spider-Man 2,obsession marvelcomic sequel andrewgarfield emmastone jamiefoxx marcwebb action adventure fantasy
39,20526,TRON: Legacy,artificialintelligence secretidentity computerprogram garretthedlund jeffbridges oliviawilde josephkosinski adventure action sciencefiction
40,49013,Cars 2,carrace sequel comedy owenwilson larrythecableguy michaelcaine johnlasseter animation family adventure
41,44912,Green Lantern,dccomics transformation superhero ryanreynolds blakelively petersarsgaard martincampbell adventure action thriller
42,10193,Toy Story 3,hostage college toy tomhanks timallen nedbeatty leeunkrich animation family comedy
43,534,Terminator Salvation,savingtheworld artificialintelligence prophecy christianbale samworthington antonyelchin mcg action sciencefiction thriller
44,168259,Furious 7,carrace speed revenge vindiesel paulwalker dwaynejohnson jameswan action
45,72190,World War Z,dystopia apocalypse zombie bradpitt mireilleenos abigailhargrove marcforster action drama horror
46,127585,X-Men: Days of Future Past,1970s mutant timetravel hughjackman jamesmcavoy michaelfassbender bryansinger action adventure fantasy
47,54138,Star Trek Into Darkness,spacecraft friendship sequel chrispine zacharyquinto zoesaldana j.j.abrams action adventure sciencefiction
48,81005,Jack the Giant Slayer,basedonfairytale giant nicholashoult eleanortomlinson ewanmcgregor bryansinger action family fantasy
49,64682,The Great Gatsby,basedonnovel infidelity obsession leonardodicaprio tobeymaguire careymulligan bazluhrmann drama romance
50,9543,Prince of Persia: The Sands of Time,persia sandstorm brotheragainstbrother jakegyllenhaal gemmaarterton benkingsley mikenewell adventure fantasy action
51,68726,Pacific Rim,dystopia giantrobot giantmonster idriselba charliehunnam charlieday guillermodeltoro action sciencefiction adventure
52,38356,Transformers: Dark of the Moon,moon spacecraft traitor shialabeouf johnmalkovich kenjeong michaelbay action sciencefiction adventure
53,217,Indiana Jones and the Kingdom of the Crystal Skull,savingtheworld riddle whip harrisonford cateblanchett shialabeouf stevenspielberg adventure action
54,105864,The Good Dinosaur,tyrannosaurusrex friends alternatehistory raymondochoa jackbright jeffreywright petersohn adventure animation family
55,62177,Brave,scotland rebel bravery kellymacdonald juliewalters billyconnolly brendachapman animation adventure comedy
56,188927,Star Trek Beyond,sequel stranded hatred chrispine zacharyquinto karlurban justinlin action adventure sciencefiction
57,10681,WALL·E,romanticcomedy benburtt elissaknight jeffgarlin andrewstanton animation family
58,5174,Rush Hour 3,ambassador christucker jackiechan hiroyukisanada brettratner action comedy crime
59,14161,2012,civilization naturaldisaster endoftheworld johncusack amandapeet chiwetelejiofor rolandemmerich action adventure sciencefiction
60,17979,A Christmas Carol,holiday basedonnovel victorianengland garyoldman jimcarrey stevevalentine robertzemeckis animation drama
61,76757,Jupiter Ascending,jupiter space womandirector milakunis channingtatum seanbean lillywachowski sciencefiction fantasy action
62,258489,The Legend of Tarzan,africa feralchild tarzan alexanderskarsgård margotrobbie christophwaltz davidyates action adventure
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",savingtheworld witch basedonnovel williammoseley annapopplewell skandarkeynes andrewadamson adventure family fantasy
64,246655,X-Men: Apocalypse,mutant supernaturalpowers marvelcomic jamesmcavoy michaelfassbender jenniferlawrence bryansinger sciencefiction
65,155,The Dark Knight,dccomics crimefighter secretidentity christianbale heathledger aaroneckhart christophernolan drama action crime
66,14160,Up,agedifference centralandsouthamerica balloon edasner christopherplummer jordannagai petedocter animation comedy family
67,15512,Monsters vs Aliens,alien giantrobot duringcreditsstinger sethrogen reesewitherspoon hughlaurie conradvernon animation family adventure
68,1726,Iron Man,middleeast armsdealer malibu robertdowneyjr. terrencehoward jeffbridges jonfavreau action sciencefiction adventure
69,44826,Hugo,library clock filmdirector benkingsley sachabaroncohen asabutterfield martinscorsese adventure drama family
70,8487,Wild Wild West,steampunk basedontvseries steamlocomotive willsmith kevinkline kennethbranagh barrysonnenfeld action adventure comedy
71,1735,The Mummy: Tomb of the Dragon Emperor, brendanfraser jetli johnhannah robcohen adventure action fantasy
72,297761,Suicide Squad,dccomics shareduniverse antihero willsmith margotrobbie joelkinnaman davidayer action adventure crime
73,2698,Evan Almighty,fathersonrelationship dailylife marriedcouple stevecarell laurengraham johngoodman tomshadyac fantasy comedy family
74,137113,Edge of Tomorrow,dejavu timewarp restart tomcruise emilyblunt brendangleeson dougliman action sciencefiction
75,9804,Waterworld,ocean tattoo mutant kevincostner chaimgirafi rickaviles kevinreynolds adventure action
76,14869,G.I. Joe: The Rise of Cobra,terrorist secret hostage dennisquaid channingtatum marlonwayans stephensommers adventure action thriller
77,150540,Inside Out,dream cartoon imaginaryfriend amypoehler phyllissmith richardkind petedocter drama comedy animation
78,278927,The Jungle Book,basedonnovel snake wolf neelsethi billmurray benkingsley jonfavreau family adventure drama
79,10138,Iron Man 2,malibu marvelcomic superhero robertdowneyjr. gwynethpaltrow doncheadle jonfavreau adventure action sciencefiction
80,58595,Snow White and the Huntsman,queen magic fairytale kristenstewart charlizetheron chrishemsworth rupertsanders adventure fantasy drama
81,102651,Maleficent,fairytale villain sleepingbeauty angelinajolie ellefanning sharltocopley robertstromberg fantasy adventure action
82,119450,Dawn of the Planet of the Apes,leader colony post-apocalyptic andyserkis jasonclarke garyoldman mattreeves sciencefiction action drama
83,79698,The Lovers, joshhartnett simonekessell tamsinegerton rolandjoffé action adventure sciencefiction
84,64686,47 Ronin,japan suicide samurai keanureeves hiroyukisanada koushibasaki carlrinsch drama action adventure
85,100402,Captain America: The Winter Soldier,washingtond.c. future shield chrisevans samuell.jackson scarlettjohansson anthonyrusso action adventure sciencefiction
86,10192,Shrek Forever After,ogre 3d mikemyers eddiemurphy camerondiaz mikemitchell comedy adventure fantasy
87,158852,Tomorrowland,inventor apocalypse destiny brittrobertson georgeclooney raffeycassidy bradbird adventure family mystery
88,177572,Big Hero 6,brotherbrotherrelationship hero talent scottadsit ryanpotter danielhenney chriswilliams adventure family animation
89,82690,Wreck-It Ralph,supportgroup productplacement bullying johnc.reilly sarahsilverman jackmcbrayer richmoore family animation comedy
90,5255,The Polar Express,santaclaus nerd faith tomhanks michaeljeter nonagaye robertzemeckis adventure animation family
91,47933,Independence Day: Resurgence,alternatehistory alieninvasion liamhemsworth jeffgoldblum billpullman rolandemmerich action adventure sciencefiction
92,10191,How to Train Your Dragon,flying blacksmith arena jaybaruchel gerardbutler craigferguson chrissanders fantasy adventure animation
93,296,Terminator 3: Rise of the Machines,savingtheworld artificialintelligence manvsmachine arnoldschwarzenegger nickstahl clairedanes jonathanmostow action thriller sciencefiction
94,118340,Guardians of the Galaxy,marvelcomic spaceship space chrispratt zoesaldana davebautista jamesgunn action sciencefiction adventure
95,157336,Interstellar,savingtheworld artificialintelligence fathersonrelationship matthewmcconaughey jessicachastain annehathaway christophernolan adventure drama sciencefiction
96,27205,Inception,lossoflover dream kidnapping leonardodicaprio josephgordon-levitt ellenpage christophernolan action thriller sciencefiction
97,315011,Shin Godzilla,monster godzilla giantmonster hirokihasegawa yutakatakenouchi satomiishihara hideakianno action adventure drama
98,49051,The Hobbit: An Unexpected Journey,riddle elves dwarves ianmckellen martinfreeman richardarmitage peterjackson adventure fantasy action
99,9799,The Fast and the Furious,streetgang carrace undercover paulwalker vindiesel michellerodriguez robcohen action crime thriller
100,4922,The Curious Case of Benjamin Button,diary navy funeral cateblanchett bradpitt tildaswinton davidfincher fantasy drama thriller
101,49538,X-Men: First Class,cia mutant mine jamesmcavoy michaelfassbender jenniferlawrence matthewvaughn action sciencefiction adventure
102,131634,The Hunger Games: Mockingjay - Part 2,revolution strongwoman dystopia jenniferlawrence joshhutcherson liamhemsworth francislawrence action adventure sciencefiction
103,27022,The Sorcerer's Apprentice,witch fire wolf nicolascage jaybaruchel monicabellucci jonturteltaub fantasy adventure action
104,503,Poseidon,newyear'seve fire drowning kurtrussell richarddreyfuss joshlucas wolfgangpetersen adventure action drama
105,241259,Alice Through the Looking Glass,basedonnovel clock queen johnnydepp miawasikowska annehathaway jamesbobin fantasy
106,810,Shrek the Third,ambush sadness stage mikemyers eddiemurphy camerondiaz chrismiller fantasy adventure animation
107,68735,Warcraft,videogame elves orcs paulapatton travisfimmel benfoster duncanjones action adventure fantasy
108,87101,Terminator Genisys,savingtheworld artificialintelligence cyborg arnoldschwarzenegger jasonclarke emiliaclarke alantaylor sciencefiction action thriller
109,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,basedonnovel magic goodvsevil skandarkeynes georgiehenley simonpegg michaelapted adventure family fantasy
110,676,Pearl Harbor,nurse patriotism hawaii benaffleck joshhartnett katebeckinsale michaelbay history romance war
111,1858,Transformers,destroy transformation alien shialabeouf joshduhamel meganfox michaelbay adventure sciencefiction action
112,1966,Alexander,aristotle egypt greece colinfarrell angelinajolie valkilmer oliverstone war history action
113,675,Harry Potter and the Order of the Phoenix,prophecy witch lossoflover danielradcliffe rupertgrint emmawatson davidyates adventure fantasy family
114,674,Harry Potter and the Goblet of Fire,magic dyinganddeath broom danielradcliffe rupertgrint emmawatson mikenewell adventure fantasy family
115,8960,Hancock,flying alcohol loveofone'slife willsmith charlizetheron jasonbateman peterberg fantasy action
116,6479,I Am Legend,savingtheworld lostcivilisation post-apocalyptic willsmith alicebraga charlietahan francislawrence drama horror action
117,118,Charlie and the Chocolate Factory,londonengland fathersonrelationship chocolate johnnydepp freddiehighmore davidkelly timburton adventure comedy family
118,2062,Ratatouille,paris brotherbrotherrelationship expensiverestaurant pattonoswalt ianholm louromano janpinkava animation comedy family
119,272,Batman Begins,himalaya martialarts dccomics christianbale michaelcaine liamneeson christophernolan action crime drama
120,10527,Madagascar: Escape 2 Africa,africa jealousy dance benstiller jadapinkettsmith davidschwimmer ericdarnell family animation
121,18360,Night at the Museum: Battle of the Smithsonian,museum theodoreroosevelt duringcreditsstinger benstiller amyadams owenwilson shawnlevy adventure fantasy action
122,2080,X-Men Origins: Wolverine,corruption mutant boxer hughjackman lievschreiber dannyhuston gavinhood adventure action thriller
123,605,The Matrix Revolutions,savingtheworld artificialintelligence manvsmachine keanureeves laurencefishburne carrie-annemoss lillywachowski adventure action thriller
124,109445,Frozen,queen musical princess kristenbell idinamenzel jonathangroff chrisbuck animation adventure family
125,604,The Matrix Reloaded,savingtheworld artificialintelligence manvsmachine keanureeves carrie-annemoss laurencefishburne lillywachowski adventure action thriller
126,76338,Thor: The Dark World,marvelcomic superhero basedoncomicbook chrishemsworth natalieportman tomhiddleston alantaylor action adventure fantasy
127,76341,Mad Max: Fury Road,future chase post-apocalyptic tomhardy charlizetheron nicholashoult georgemiller action adventure sciencefiction
128,13448,Angels & Demons,rome vatican basedonnovel tomhanks ewanmcgregor ayeletzurer ronhoward thriller mystery
129,10195,Thor,newmexico banishment shield chrishemsworth natalieportman tomhiddleston kennethbranagh adventure fantasy action
130,13053,Bolt,hamster kidsandfamily animal johntravolta mileycyrus susieessman chriswilliams animation family adventure
131,19585,G-Force,dyr duringcreditsstinger samrockwell penélopecruz tracymorgan hoytyeatman fantasy action adventure
132,57165,Wrath of the Titans,underworld hades mythology samworthington liamneeson ralphfiennes jonathanliebesman adventure
133,62213,Dark Shadows,witch imprisonment vampire johnnydepp michellepfeiffer helenabonhamcarter timburton comedy fantasy
134,177677,Mission: Impossible - Rogue Nation,londonengland spy austria tomcruise rebeccaferguson simonpegg christophermcquarrie action adventure thriller
135,7978,The Wolfman,fathersonrelationship victorianengland remake beniciodeltoro anthonyhopkins emilyblunt joejohnston drama horror thriller
136,5559,Bee Movie,factoryworker tennis flower jerryseinfeld renéezellweger jimcummings stevehickner family animation adventure
137,49444,Kung Fu Panda 2,martialarts hope fleet jackblack angelinajolie dustinhoffman jenniferyuhnelson animation family
138,10196,The Last Airbender,fire ice warship noahringer nicolapeltz jacksonrathbone m.nightshyamalan action adventure family
139,956,Mission: Impossible III,berlin cia vatican tomcruise philipseymourhoffman vingrhames j.j.abrams adventure action thriller
140,117251,White House Down,usapresident conspiracy secretservice channingtatum jamiefoxx joeyking rolandemmerich action drama thriller
141,50321,Mars Needs Moms,boy alien rescue sethgreen joancusack danfogler simonwells adventure animation family
142,11619,Flushed Away,londonengland underworld return hughjackman katewinslet ianmckellen davidbowers adventure animation comedy
143,266647,Pan,flying magic fairytale levimiller garretthedlund hughjackman joewright adventure family fantasy
144,82703,Mr. Peabody & Sherman,fathersonrelationship egypt intelligence tyburrell maxcharles arielwinter robminkoff animation adventure family
145,652,Troy,brotherbrotherrelationship adultery mythology bradpitt orlandobloom ericbana wolfgangpetersen adventure drama war
146,80321,Madagascar 3: Europe's Most Wanted,madagascar 3d benstiller sachabaroncohen davidschwimmer conradvernon animation family
147,36669,Die Another Day,laser britishsecretservice secretserviceagent piercebrosnan halleberry rosamundpike leetamahori adventure action thriller
148,43074,Ghostbusters,femalefriendship ghosthunting reboot melissamccarthy kristenwiig katemckinnon paulfeig action fantasy comedy
149,95,Armageddon,savingtheworld paris moon brucewillis billybobthornton benaffleck michaelbay action thriller sciencefiction
150,608,Men in Black II,savingtheworld secretidentity sunglasses tommyleejones willsmith riptorn barrysonnenfeld action adventure comedy
151,2310,Beowulf,denmark nordicmythology lie raywinstone angelinajolie anthonyhopkins robertzemeckis adventure action animation
152,140300,Kung Fu Panda 3,china martialarts kungfu jackblack bryancranston dustinhoffman jenniferyuhnelson action adventure animation
153,56292,Mission: Impossible - Ghost Protocol,fight sequel mission tomcruise jeremyrenner simonpegg bradbird action thriller adventure
154,81188,Rise of the Guardians,dream santaclaus nightmare chrispine alecbaldwin judelaw peterramsey fantasy animation family
155,7552,Fun with Dick and Jane,basedonnovel desperation robber jimcarrey téaleoni alecbaldwin deanparisot comedy
156,616,The Last Samurai,japan warcrimes senseofguilt tomcruise kenwatanabe williamatherton edwardzwick drama action war
157,147441,Exodus: Gods and Kings,moses bible ancientegypt christianbale joeledgerton johnturturro ridleyscott adventure drama action
158,13475,Star Trek,spacecraft teleportation spacemission chrispine zacharyquinto leonardnimoy j.j.abrams sciencefiction action adventure
159,557,Spider-Man,lossoflover spider thanksgiving tobeymaguire willemdafoe kirstendunst samraimi fantasy action
160,82702,How to Train Your Dragon 2,fathersonrelationship wifehusbandrelationship sacrifice jaybaruchel gerardbutler kristenwiig deandeblois fantasy action adventure
161,205584,Gods of Egypt,egypt underworld fight brentonthwaites nikolajcoster-waldau gerardbutler alexproyas fantasy
162,10048,Stealth,artificialintelligence u.s.navy aftercreditsstinger joshlucas jessicabiel jamiefoxx robcohen action
163,13183,Watchmen,dccomics secretidentity massmurder malinåkerman billycrudup carlagugino zacksnyder action mystery sciencefiction
164,944,Lethal Weapon 4,lapd houseonfire revolver melgibson dannyglover joepesci richarddonner action adventure comedy
165,1927,Hulk,california sanfrancisco monster ericbana jenniferconnelly samelliott anglee drama action sciencefiction
166,72559,G.I. Joe: Retaliation,terror assassin secret dwaynejohnson d.j.cotrona adriannepalicki jonm.chu adventure action sciencefiction
167,7364,Sahara,tyrant ironcladship matthewmcconaughey penélopecruz stevezahn breckeisner action adventure comedy
168,2114,Final Fantasy: The Spirits Within,battleassignment dystopia alien donaldsutherland ming-nawen alecbaldwin hironobusakaguchi adventure action animation
169,1771,Captain America: The First Avenger,newyork usa worldwarii chrisevans hugoweaving tommyleejones joejohnston action adventure sciencefiction
170,36643,The World Is Not Enough,british mission oil piercebrosnan sophiemarceau robertcarlyle michaelapted adventure action thriller
171,8619,Master and Commander: The Far Side of the World,naturalist frigate selfsurgery russellcrowe paulbettany jamesd'arcy peterweir adventure
172,50620,The Twilight Saga: Breaking Dawn - Part 2,vampire romance villainess kristenstewart robertpattinson taylorlautner billcondon adventure fantasy drama
173,65759,Happy Feet Two,penguin musical aftercreditsstinger elijahwood robinwilliams pink georgemiller animation comedy family
174,1724,The Incredible Hulk,newyork riodejaneiro marvelcomic edwardnorton livtyler timroth louisleterrier sciencefiction action adventure
175,267935,The BFG,londonengland england basedonnovel rubybarnhill markrylance rebeccahall stevenspielberg adventure family fantasy
176,281957,The Revenant,fathersonrelationship rape basedonnovel leonardodicaprio tomhardy willpoulter alejandrogonzáleziñárritu western drama adventure
177,77950,Turbo,underdog carrace dream ryanreynolds paulgiamatti michaelpeña davidsoren animation family
178,44896,Rango,sheriff nevada pet johnnydepp islafisher nedbeatty goreverbinski animation comedy family
179,270946,Penguins of Madagascar,penguin madagascar 3d tommcgrath chrismiller christopherknights ericdarnell family animation adventure
180,2503,The Bourne Ultimatum,paris corruption madrid mattdamon juliastiles davidstrathairn paulgreengrass action drama mystery
181,9502,Kung Fu Panda,china martialarts kungfu jackblack dustinhoffman angelinajolie markosborne adventure animation family
182,102899,Ant-Man,marvelcomic superhero basedoncomicbook paulrudd michaeldouglas evangelinelilly peytonreed sciencefiction action adventure
183,101299,The Hunger Games: Catching Fire,competition basedonnovel mentor jenniferlawrence joshhutcherson liamhemsworth francislawrence adventure action sciencefiction
184,228161,Home,friendship spaceship space jimparsons rihanna stevemartin timjohnson fantasy comedy animation
185,74,War of the Worlds,posttraumaticstressdisorder newjersey airplane tomcruise dakotafanning mirandaotto stevenspielberg adventure thriller sciencefiction
186,8961,Bad Boys II,miami kukluxklan cuba martinlawrence willsmith jordimollà michaelbay adventure action comedy
187,417859,Puss in Boots,adventure fairy-talefigure antoniobanderas salmahayek zachgalifianakis chrismiller action adventure animation
188,27576,Salt,assassination spy cia angelinajolie lievschreiber chiwetelejiofor phillipnoyce action mystery thriller
189,86834,Noah,bible god noah russellcrowe jenniferconnelly emmawatson darrenaronofsky drama adventure
190,17578,The Adventures of Tintin,riddle captain treasure jamiebell andyserkis danielcraig stevenspielberg adventure animation mystery
191,673,Harry Potter and the Prisoner of Azkaban,flying traitor magic danielradcliffe rupertgrint emmawatson alfonsocuarón adventure fantasy family
192,6972,Australia,missionary worldwarii ranch nicolekidman hughjackman essiedavis bazluhrmann drama
193,82700,After Earth,dystopia jadensmith willsmith sophieokonedo m.nightshyamalan sciencefiction action adventure
194,10567,Dinosaur,cataclysm asteroid leader d.b.sweeney alfrewoodard ossiedavis ralphzondag animation family
195,181533,Night at the Museum: Secret of the Tomb,nightwatchman museum naturalhistory benstiller ramimalek rebelwilson shawnlevy adventure comedy fantasy
196,38055,Megamind,savingtheworld date prison willferrell bradpitt tinafey tommcgrath animation action comedy
197,671,Harry Potter and the Philosopher's Stone,witch christmasparty magic danielradcliffe rupertgrint emmawatson chriscolumbus adventure fantasy family
198,49524,R.I.P.D.,gold policeoperation partner jeffbridges ryanreynolds kevinbacon robertschwentke fantasy action comedy
199,22,Pirates of the Caribbean: The Curse of the Black Pearl,exoticisland blacksmith eastindiatradingcompany johnnydepp geoffreyrush orlandobloom goreverbinski adventure fantasy action
200,131631,The Hunger Games: Mockingjay - Part 1,resistance post-apocalyptic dystopia jenniferlawrence joshhutcherson liamhemsworth francislawrence sciencefiction adventure thriller
201,591,The Da Vinci Code,paris holygrail christianity tomhanks audreytautou ianmckellen ronhoward thriller mystery
202,172385,Rio 2,bird sequel jungle jesseeisenberg annehathaway lesliemann carlossaldanha animation adventure comedy
203,36658,X2,mutant marvelcomic superhero patrickstewart hughjackman ianmckellen bryansinger adventure action sciencefiction
204,51497,Fast Five,brazil fbi freedom vindiesel paulwalker jordanabrewster justinlin action thriller crime
205,58574,Sherlock Holmes: A Game of Shadows,detectiveinspector steampunk criminalmastermind robertdowneyjr. judelaw jaredharris guyritchie adventure action crime
206,18823,Clash of the Titans,hades mythology greekmythology samworthington liamneeson ralphfiennes louisleterrier adventure fantasy action
207,861,Total Recall,oxygen falselyaccused resistance arnoldschwarzenegger sharonstone rachelticotin paulverhoeven action adventure sciencefiction
208,1911,The 13th Warrior,witch cave arabian antoniobanderas vladimirkulich dennisstorhøi johnmctiernan adventure fantasy action
209,49040,The Bourne Legacy,assassin wolf maryland jeremyrenner rachelweisz edwardnorton tonygilroy action thriller
210,415,Batman & Robin,doublelife dccomics dualidentity georgeclooney chriso'donnell arnoldschwarzenegger joelschumacher action crime fantasy
211,8871,How the Grinch Stole Christmas,holiday christmasparty newlove jimcarrey taylormomsen jeffreytambor ronhoward family comedy fantasy
212,435,The Day After Tomorrow,savingtheworld library cataclysm dennisquaid jakegyllenhaal emmyrossum rolandemmerich action adventure sciencefiction
213,955,Mission: Impossible II,terror spain cia tomcruise dougrayscott thandienewton johnwoo adventure action thriller
214,2133,The Perfect Storm,u.s.airforce grocery jamaican georgeclooney markwahlberg dianelane wolfgangpetersen drama
215,1979,Fantastic 4: Rise of the Silver Surfer,fire helicopter surfboard ioangruffudd jessicaalba chrisevans timstory adventure fantasy action
216,87827,Life of Pi,ocean shipwreck hindu surajsharma irrfankhan ayushtandon anglee adventure drama action
217,1250,Ghost Rider,mephisto religionandsupernatural dyinganddeath nicolascage evamendes wesbentley markstevenjohnson thriller action fantasy
218,324668,Jason Bourne,assassin amnesia flashback mattdamon aliciavikander tommyleejones paulgreengrass action thriller
219,9471,Charlie's Angels: Full Throttle,robbery secretidentity secretagent camerondiaz drewbarrymore lucyliu mcg action adventure comedy
220,70981,Prometheus,android dystopia alien noomirapace michaelfassbender guypearce ridleyscott sciencefiction adventure mystery
221,10996,Stuart Little 2,mouse falcon bird michaelj.fox geenadavis hughlaurie robminkoff family adventure animation
222,68724,Elysium,dystopia spacestation classconflict mattdamon jodiefoster sharltocopley neillblomkamp sciencefiction action drama
223,2789,The Chronicles of Riddick,prison dystopia matteroflifeanddeath vindiesel thandienewton karlurban davidtwohy action sciencefiction
224,97020,RoboCop,cyborg future dystopia joelkinnaman garyoldman michaelkeaton josépadilha action sciencefiction
225,7459,Speed Racer,carrace lossofbrother chimp emilehirsch christinaricci matthewfox lillywachowski action family sciencefiction
226,42888,How Do You Know,lovetriangle baseball athlete reesewitherspoon paulrudd owenwilson jamesl.brooks comedy drama romance
227,37834,Knight and Day,spy airport gasstation tomcruise camerondiaz petersarsgaard jamesmangold action comedy
228,75612,Oblivion,spacecraft dystopia space tomcruise morganfreeman olgakurylenko josephkosinski action sciencefiction adventure
229,1895,Star Wars: Episode III - Revenge of the Sith,showdown deathstar vision ewanmcgregor natalieportman haydenchristensen georgelucas sciencefiction adventure action
230,1894,Star Wars: Episode II - Attack of the Clones,senate investigation army ewanmcgregor natalieportman haydenchristensen georgelucas adventure action sciencefiction
231,585,"Monsters, Inc.",monster infant energysupply johngoodman billycrystal marygibbs petedocter animation comedy family
232,76170,The Wolverine,japan samurai mutant hughjackman hiroyukisanada famkejanssen jamesmangold action sciencefiction adventure
233,1893,Star Wars: Episode I - The Phantom Menace,prophecy senate queen liamneeson ewanmcgregor natalieportman georgelucas adventure action sciencefiction
234,49519,The Croods,stoneage daughter father nicolascage emmastone ryanreynolds chrissanders adventure animation comedy
235,2395,Asterix at the Olympic Games,competition greece colosseum cloviscornillac gérarddepardieu franckdubosc thomaslangmann fantasy adventure comedy
236,12100,Windtalkers,japan worldwarii radiotransmission nicolascage adambeach peterstormare johnwoo drama action history
237,290595,The Huntsman: Winter's War,witch magic fairytale chrishemsworth charlizetheron emilyblunt cedricnicolas-troyan action adventure drama
238,98566,Teenage Mutant Ninja Turtles,martialarts terrorist hero meganfox willarnett williamfichtner jonathanliebesman sciencefiction action adventure
239,49047,Gravity,spacemission loss space sandrabullock georgeclooney edharris alfonsocuarón sciencefiction thriller drama
240,9619,Dante's Peak,helicopter smalltown mayor piercebrosnan lindahamilton jamierenéesmith rogerdonaldson action adventure thriller
